residence	user_id	imei	company	ssn	registration	birthdate	current_location	name	mail	job	username
"1071 Michael Spur Apt. 659
Tracifurt, AS 10436"	2320	3590433799317661917	Shaffer, Baker and Johnson	620-38-9922	02 May 2019		(Decimal('55.382735'), Decimal('-1.299319'))	Trevor Rice	stevencohen@gmail.com		qwright
"82507 Sandy Island
Port Christopherview, AR 90833"	1716	8630330696303482055	Allen, Hawkins and Davis	518-39-7940	2022-12-17		(Decimal('50.9335215'), Decimal('-178.120255'))	Denise Phillips	gnolan@yahoo.com		maddoxdenise
"Unit 8659 Box 1698
DPO AP 68966"	91	3590433799317661149	Brown, Ferguson and Sellers	158-13-5325	2018/02/07		(Decimal('22.5076225'), Decimal('60.216109'))	Brian Ray	riverajacob@gmail.com		arnoldmike
	1229	3590433799317661164	Warren-Spears	156-39-2551	2018-03-08		(Decimal('50.6358475'), Decimal('-65.125307'))	Amy Gonzalez	sheryl58@hotmail.com		sharpdavid
	602	8630330696303481057	Brown, Brown and Allen	704-29-2324	17 Feb 2018		(Decimal('-43.9607775'), Decimal('154.312364'))	Mathew Vaughan	holly71@hotmail.com		crystal65
"57444 Hill Corners Suite 517
Port Amanda, OH 14788"	434	8630330696303481297	Dyer-Martinez	186-03-8834	2022/12/04	1978-06-27	(Decimal('16.621125'), Decimal('-67.930291'))	Anna Sullivan	wsanchez@gmail.com	Accounting technician	pjohnson
"92797 Kevin Run Apt. 198
New Markton, NM 78342"	2141	359043379931766171	Evans, Scott and Newman	816-38-8782	09/21/2023, 00:00:00			Martin Brown	ndixon@hotmail.com	Travel agency manager	abigaildonovan
"07724 Tracy Highway
South Toddchester, AK 55365"	334	863033069630348628	Henry Ltd	472-73-3851	2024-09-17	2023-01-20	(Decimal('6.9179015'), Decimal('-12.974787'))	Joshua Lopez	leahedwards@gmail.com		rbates
	207	8630330696303481669	Williams-Coleman	359-50-9031	31 Oct 2022	1998-05-09	(Decimal('-45.8764605'), Decimal('-88.282134'))	Jorge Jones	kreyes@yahoo.com		debrawagner
	2012	3590433799317661461	Ellis-Henry	881-41-7065	2019/08/29		(Decimal('21.9237955'), Decimal('119.912949'))	Victoria King	rodriguezamanda@yahoo.com	Presenter, broadcasting	ewilliams
	2284	863033069630348602	Tate, Ryan and Ross	207-47-8485	18 Dec 2019		(Decimal('69.902751'), Decimal('109.722285'))	Charles Neal	pmontgomery@gmail.com	Orthoptist	mitchell89
"7140 Erin Ridge Suite 602
New Angela, NJ 75583"	1883	863033069630348578	Watson, Hernandez and Castillo	158-92-2194	2023-12-13		(Decimal('-1.5340655'), Decimal('-10.895630'))	Kevin Trujillo	tammy33@gmail.com	Education officer, environmental	shaley
	1059	8630330696303481131	Bright-Ortega	416-76-0412	02 May 2021	1951-11-05	(Decimal('-27.5058385'), Decimal('-135.157291'))	Joshua Wright	ashley11@hotmail.com		anthonymartinez
"6046 Bennett Shoal Suite 747
North Tyler, AL 45267"	1571	8630330696303482220	Mitchell-Blanchard	067-42-1915	18 Oct 2018		(Decimal('-52.5970025'), Decimal('-104.913938'))	Janet Aguilar	ronald84@gmail.com		stevenhaynes
"60881 Carter Unions Apt. 370
New Sherry, UT 83238"	376	3590433799317662329	Ray Group	672-80-6178	08 Feb 2018	1987-09-08	(Decimal('76.1331235'), Decimal('-45.643208'))	David Sosa	lramirez@hotmail.com		shannonperez
"50632 Mueller River Suite 923
West Eddieburgh, OK 60075"	456	359043379931766445	Rowland-Greene	461-73-1560	01/10/2021, 00:00:00	1913-04-20	(Decimal('17.815521'), Decimal('-138.836735'))	Nathaniel Hansen	davidsmith@gmail.com	Clinical biochemist	ingramjason
	778	8630330696303481982	Watson, Jones and Ramirez	261-21-3160	09/12/2023, 00:00:00	2023-04-18	(Decimal('-34.866766'), Decimal('121.855759'))	Sara Chase	lguzman@gmail.com	Race relations officer	vwatson
	42	359043379931766742	Stone-Raymond	671-59-6886	2020/11/20		(Decimal('47.1314275'), Decimal('-67.705116'))	Joshua Spencer	david27@hotmail.com		thomasdavid
"3311 Zamora Pike
Lake Paul, TX 26124"	1096	8630330696303481537	Garcia-Collins	882-57-6860	02/01/2023, 00:00:00		(Decimal('20.152789'), Decimal('-25.904969'))	Kathryn Chan	barrscott@hotmail.com		bgriffin
"560 Daniel Port Apt. 467
Medinashire, PA 92636"	809	3590433799317662139	Smith-Matthews	143-68-4135	2023/07/31		(Decimal('-67.9981155'), Decimal('25.238165'))	Hannah Mata	zachary24@hotmail.com		jennifer01
	2350	3590433799317661735	Reyes, Church and Cantrell	120-19-2489	2022-10-25	2022-10-03	(Decimal('-40.6509315'), Decimal('-50.984078'))	Linda Marks	robertstravis@hotmail.com	Warehouse manager	pittsmichelle
	1929	863033069630348081	Washington, Mendoza and Ryan	740-41-2178	2024-08-18	2009-06-21	(Decimal('85.3946445'), Decimal('-62.834665'))	Claire Scott	mdickerson@gmail.com	Producer, television/film/video	jamie95
	536	863033069630348404	Hogan, Goodwin and Underwood	029-03-4259	2018/10/11			Donald Jordan	danielle78@gmail.com		kim99
"19933 Bryant Hill
Bethside, MH 93234"	2128	359043379931766908	Ferguson, Parrish and Walter	417-13-0771	09/27/2021, 00:00:00		(Decimal('27.620324'), Decimal('152.281590'))	Vanessa Kennedy	jordanjade@hotmail.com		james96
"1773 Melanie Flats Suite 445
Rhondatown, VT 83367"	291	359043379931766973	Bradford, Dudley and Lopez	380-92-9850	2019/05/26		(Decimal('88.9260725'), Decimal('95.547278'))	Chad Matthews	paulaustin@yahoo.com		ecortez
"73567 Ruiz Gateway
Stuartshire, GA 03749"	632	359043379931766213	Harris-Floyd	009-22-5473	02/27/2020, 00:00:00	1915-06-02	(Decimal('-34.5541505'), Decimal('-55.117601'))	Christine Faulkner	lisajones@yahoo.com		jessica13
"6555 Jessica Locks Apt. 330
Terrifurt, OH 32701"	1946	3590433799317661958	Wheeler-Martinez	514-58-5275	2022/12/12	1946-02-03		Stephen Gonzalez	butlertravis@hotmail.com		upeterson
	1534	3590433799317661768	Bates, Park and Rodriguez	409-09-1890	02/12/2021, 00:00:00		(Decimal('37.7736695'), Decimal('45.516856'))	Harold Webb MD	rhondamoore@yahoo.com		xedwards
	187	863033069630348677	Martin, Anderson and Armstrong	065-06-0387	2020/09/24	1931-03-25	(Decimal('26.4777005'), Decimal('2.518103'))	Jimmy Cruz	crystalramsey@yahoo.com		johnsonmelissa
	1164	3590433799317661628	Anderson-Cooper	002-49-2518	10/13/2020, 00:00:00	1947-01-20	(Decimal('-36.410348'), Decimal('174.177720'))	Shari Medina	ballen@gmail.com	Engineer, building services	valerie63
	109	863033069630348826	Durham, Willis and Lopez	012-93-0106	01/31/2022, 00:00:00		(Decimal('-12.1350415'), Decimal('-145.728443'))	Tony Clark	mchavez@yahoo.com	Occupational therapist	robertselizabeth
"391 Sylvia Crossing Apt. 093
Lake Kathrynberg, DC 58441"	766	8630330696303482444	Thomas-Jackson	219-66-7504	09/05/2024, 00:00:00		(Decimal('78.942155'), Decimal('-58.426486'))	Mr. Mark Patterson	eric64@gmail.com	Museum/gallery curator	peterthomas
	1959	3590433799317662469	Johnson Inc	634-69-0818	2021-04-24		(Decimal('72.603180'), Decimal('149.820356'))	Sabrina Oliver	tanner90@hotmail.com	Engineer, civil (consulting)	amyblankenship
	1025	359043379931766650	Roman, Deleon and Stephens	437-82-8204	10/11/2018, 00:00:00	1999-02-27		Mr. Joseph Carter	colongabriel@gmail.com		grantmark
	283	8630330696303481180	Daniel, Hale and Fisher	574-93-3479	2017/10/11		(Decimal('81.336818'), Decimal('-157.376714'))	Joshua Hughes	egardner@yahoo.com		ryanmartin
	605	3590433799317661032	Waters and Sons	280-93-4818	2022/05/27		(Decimal('-60.2349405'), Decimal('-111.374415'))	Gina Valdez	jonathan88@hotmail.com		hernandezmelissa
	1998	8630330696303481867	Conley PLC	832-05-9461	29 Jul 2019		(Decimal('-51.732966'), Decimal('75.409164'))	Kevin Scott	kathryn03@yahoo.com		clairepatterson
	534	8630330696303482022	Jones, Chavez and Garcia	006-74-3387	28 May 2019	1976-03-24	(Decimal('86.4372965'), Decimal('-44.759035'))	Jamie Cline	arodriguez@yahoo.com		johndaniel
"46408 Jennifer Knoll Suite 959
Kleinport, VI 74805"	2427	8630330696303482147	Watson-Reese	796-98-8875	2020-07-29	1962-12-26	(Decimal('-16.452348'), Decimal('-7.023344'))	Jennifer Perez	kfrench@gmail.com	Ranger/warden	howelauren
	1081	359043379931766460	Hunter, Mcdonald and Morales	269-65-1287	03 Nov 2021		(Decimal('-66.9697075'), Decimal('-165.530920'))	Matthew Schultz	twright@yahoo.com		cainangela
"5928 Mark Road Apt. 794
Johnland, TX 10365"	690	8630330696303481438	Mendez Ltd	012-12-7857	22 Mar 2023	2013-07-08	(Decimal('-82.4858865'), Decimal('-68.707595'))	Wyatt Blanchard	ashleyvelez@gmail.com		meagan91
	1903	3590433799317662204	Chen and Sons	488-80-7290	01/22/2023, 00:00:00		(Decimal('10.614327'), Decimal('29.801258'))	Christopher Hopkins	iparks@yahoo.com	Editor, film/video	matthewwilson
	476	359043379931766445	Hartman Ltd	577-38-1536	10 Apr 2018		(Decimal('-52.5777805'), Decimal('162.197840'))	Stephanie Whitney	shannon23@yahoo.com		jennifer05
	2234	3590433799317661248	Melendez, Thomas and Edwards	846-17-4636	04/28/2018, 00:00:00		(Decimal('-89.9973055'), Decimal('150.503668'))	Carol Chapman	derrickanderson@yahoo.com	Accounting technician	joshuajenkins
	1488	8630330696303482410	King, Carter and Mejia	725-16-0785	2023/03/18		(Decimal('63.451529'), Decimal('-39.858294'))	Lisa Rubio	jenniferwilliams@hotmail.com		ballarddonna
	2364	8630330696303481107	Nelson, Williams and Moore	793-73-3776	2021-09-23	1956-12-01	(Decimal('-26.897886'), Decimal('172.800870'))	Stacy Mendoza	millslauren@hotmail.com		gfleming
"076 James Drive
New Danielberg, MO 72268"	911	863033069630348412	Hays, Carroll and Walton	276-20-9015	2023-10-14		(Decimal('-12.7142995'), Decimal('-130.015889'))	Paul Wallace	brianayoung@hotmail.com		washingtoncharles
	655	8630330696303482337	Dennis, Johnson and Brown	634-93-3483	2021/12/07		(Decimal('40.1501615'), Decimal('-20.237168'))	Linda Patterson	williamlandry@yahoo.com		zcarter
"68572 Clinton Wells
Marieville, MI 30723"	2303	8630330696303482444	Burgess-Watson	096-66-1317	2017-11-17		(Decimal('-73.933500'), Decimal('60.035875'))	Ryan Jones	gonzalezjoyce@yahoo.com	Restaurant manager, fast food	kimberlywalton
"01017 Melissa Streets
Lisaview, OK 96018"	755	8630330696303481529	Holloway Group	541-70-6159	17 Feb 2024		(Decimal('55.956203'), Decimal('-104.769085'))	Kelsey Santiago	hartmelanie@gmail.com		farmerchristian
"1135 Timothy Avenue
West Michelleton, NE 89334"	487	8630330696303481198	Keller, Johnson and Steele	271-18-9256	2024-03-25		(Decimal('26.497538'), Decimal('-79.550018'))	Alexander Harper	iperry@yahoo.com		lambkevin
"169 Melinda Plains
Lake Davidfort, MP 56114"	2076	8630330696303481214	Kelley Inc	587-37-7886	06 Jan 2021		(Decimal('-15.222291'), Decimal('100.194514'))	Elizabeth Mathis	stevenwatson@gmail.com	Computer games developer	craig23
"6711 Smith Motorway Suite 563
Milesfort, AK 94460"	165	3590433799317661685	Brown-Green	676-33-9437	01/22/2024, 00:00:00	2013-01-16		Amber Logan	colemantrevor@yahoo.com	Engineer, structural	clarkheather
	1626	8630330696303481404	Simmons, Mcpherson and Robinson	142-12-1184	2022-08-08		(Decimal('-54.336502'), Decimal('129.574078'))	Robert Cameron	linda79@yahoo.com		ewilliams
